journal_name,issn,eissn
INTEGRATIVE AND COMPARATIVE BIOLOGY,1540-7063,1557-7023
Zoological Letters,2056-306X,2056-306X
Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,1932-8486,1932-8494
Research in Autism Spectrum Disorders,1750-9467,1878-0237
ANIMAL BEHAVIOUR,0003-3472,1095-8282
MICROSCOPY RESEARCH AND TECHNIQUE,1059-910X,1097-0029
JOURNAL OF COMMUNICATION DISORDERS,0021-9924,1873-7994
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,0952-4622,2165-0586
JOURNAL OF COMPARATIVE NEUROLOGY,0021-9967,1096-9861
JOURNAL OF FELINE MEDICINE AND SURGERY,1098-612X,1532-2750
ANIMAL COGNITION,1435-9448,1435-9456
Egyptian Journal of Biological Pest Control,1110-1768,2536-9342
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1368-2822,1460-6984
International Journal of Sexual Health,1931-7611,1931-762X
JOURNAL OF MAMMALIAN EVOLUTION,1064-7554,1573-7055
Mathematical Modelling of Natural Phenomena,0973-5348,1760-6101
APHASIOLOGY,0268-7038,1464-5041
REPRODUCTION FERTILITY AND DEVELOPMENT,1031-3613,1448-5990
PSYCHOLOGY PUBLIC POLICY AND LAW,1076-8971,1939-1528
AJIDD-American Journal on Intellectual and Developmental Disabilities,1944-7515,1944-7558
JOURNAL OF MEDICAL ENTOMOLOGY,0022-2585,1938-2928
ETHNICITY & HEALTH,1355-7858,1465-3419
Current Zoology,1674-5507,2396-9814
JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW,1093-6793,1943-3662
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,0964-2633,1365-2788
ZOOLOGICA SCRIPTA,0300-3256,1463-6409
American Journal of Biological Anthropology,2692-7691,2692-7691
DISABILITY & SOCIETY,0968-7599,1360-0508
JOURNAL OF INSECT SCIENCE,,1536-2442
JOURNAL OF APPLIED ENTOMOLOGY,0931-2048,1439-0418
JOURNAL OF COMMUNITY PSYCHOLOGY,0090-4392,1520-6629
BIOSTATISTICS,1465-4644,1468-4357
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1612-4642,1439-0574
Philosophy Ethics and Humanities in Medicine,1747-5341,1747-5341
Palaeoentomology,2624-2826,2624-2834
JOURNAL OF WOMENS HEALTH,1540-9996,1931-843X
INVERTEBRATE SYSTEMATICS,1445-5226,1447-2600
MEDICAL ANTHROPOLOGY QUARTERLY,0745-5194,1548-1387
MARINE MAMMAL SCIENCE,0824-0469,1748-7692
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,1432-0762
International Journal of Speech-Language Pathology,1754-9507,1754-9515
ORGANISMS DIVERSITY & EVOLUTION,1439-6092,1618-1077
VEGETATION HISTORY AND ARCHAEOBOTANY,0939-6314,1617-6278
JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,1937-2817
Integrative Organismal Biology,,2517-4843
STATISTICAL METHODS IN MEDICAL RESEARCH,0962-2802,1477-0334
JOURNAL OF AVIAN BIOLOGY,0908-8857,1600-048X
INTERNATIONAL JOURNAL OF PRIMATOLOGY,0164-0291,1573-8604
Focus on Autism and Other Developmental Disabilities,1088-3576,1538-4829
AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,1098-2345
PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,1522-2152,1537-5293
Neotropical Ichthyology,1679-6225,
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,1096-4959,1879-1107
CULTURE MEDICINE AND PSYCHIATRY,0165-005X,1573-076X
BRAIN BEHAVIOR AND EVOLUTION,0006-8977,1421-9743
BIOMETRICAL JOURNAL,0323-3847,1521-4036
STATISTICS IN MEDICINE,0277-6715,1097-0258
Zoologia,1984-4689,1984-4689
Ornithology,0004-8038,2732-4613
Avian Research,2053-7166,2053-7166
Medical Law Review,0967-0742,1464-3790
JOURNAL OF LAW MEDICINE & ETHICS,1073-1105,1748-720X
AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533,1520-6300
MEDICINE SCIENCE AND THE LAW,0025-8024,2042-1818
Learning Disabilities Research & Practice,0938-8982,1540-5826
Intellectual and Developmental Disabilities,1934-9491,1934-9556
JOURNAL OF EARLY INTERVENTION,1053-8151,2154-3992
BIRD CONSERVATION INTERNATIONAL,0959-2709,1474-0001
Psychiatry Psychology and Law,1321-8719,1934-1687
NEW GENETICS AND SOCIETY,1463-6778,1469-9915
Birds,,2673-6004
JOURNAL OF ORNITHOLOGY,2193-7192,2193-7206
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,0160-2527,1873-6386
MEDICAL HISTORY,0025-7273,2048-8343
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,1438-3608,2196-8349
Journal of Molecular Cell Biology,1674-2788,1759-4685
CELL PROLIFERATION,0960-7722,1365-2184
Cells,,2073-4409
Stem Cells Translational Medicine,2157-6564,2157-6580
Expert Review of Vaccines,1476-0584,1744-8395
Wiley Interdisciplinary Reviews-RNA,1757-7004,1757-7012
Molecular Therapy Methods & Clinical Development,,2329-0501
Cell Regeneration,,2045-9769
Nanomedicine-Nanotechnology Biology and Medicine,1549-9634,1549-9642
CURRENT ALLERGY AND ASTHMA REPORTS,1529-7322,1534-6315
MOLECULES,,1420-3049
Tissue Engineering Part B-Reviews,1937-3368,1937-3376
Molecular Oncology,1574-7891,1878-0261
JOURNAL OF BIOMEDICAL INFORMATICS,1532-0464,1532-0480
JOURNAL OF MOLECULAR BIOLOGY,0022-2836,1089-8638
Antibody Therapeutics,,2516-4236
Research and Reports in Tropical Medicine,1179-7282,1179-7282
Nucleus,1949-1034,1949-1042
Cancers,,2072-6694
Biomedical Journal,2319-4170,2320-2890
ImmunoTargets and Therapy,,2253-1556
Skeletal Muscle,2044-5040,2044-5040
Transcription-Austin,2154-1264,2154-1272
CANCER SCIENCE,1347-9032,1349-7006
European Thyroid Journal,2235-0640,2235-0802
World Allergy Organization Journal,1939-4551,1939-4551
ACS Bio & Med Chem Au,,2694-2437
Allergy Asthma & Immunology Research,2092-7355,2092-7363
CURRENT OPINION IN CELL BIOLOGY,0955-0674,1879-0410
EUROPEAN JOURNAL OF CELL BIOLOGY,0171-9335,1618-1298
BIOCHEMICAL JOURNAL,0264-6021,1470-8728
BIOCHEMICAL SOCIETY TRANSACTIONS,0300-5127,1470-8752
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,0889-8529,1558-4410
BMC MICROBIOLOGY,1471-2180,1471-2180
ONCOLOGIST,1083-7159,1549-490X
Stem Cell Reviews and Reports,2629-3269,2629-3277
SYSTEMATIC AND APPLIED MICROBIOLOGY,0723-2020,1618-0984
Microorganisms,,2076-2607
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,1582-1838,1582-4934
WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,0959-3993,1573-0972
Endocrinology and Metabolism,2093-596X,2093-5978
Therapeutic Advances in Medical Oncology,1758-8340,1758-8359
FEBS Journal,1742-464X,1742-4658
MEDIATORS OF INFLAMMATION,0962-9351,1466-1861
JOURNAL OF FOOD BIOCHEMISTRY,0145-8884,1745-4514
Translational Oncology,1936-5233,1936-5233
Metabolic Engineering Communications,2214-0301,2214-0301
BIOGERONTOLOGY,1389-5729,1573-6768
BMJ Open Diabetes Research & Care,,2052-4897
JOURNAL OF LIPID RESEARCH,0022-2275,1539-7262
Computational and Structural Biotechnology Journal,2001-0370,2001-0370
INTERNATIONAL BIODETERIORATION & BIODEGRADATION,0964-8305,1879-0208
JNCI Cancer Spectrum,,2515-5091
Journal of Inflammation-London,1476-9255,1476-9255
Nutrition & Metabolism,,1743-7075
ONCOLOGY RESEARCH,0965-0407,1555-3906
Tissue Engineering and Regenerative Medicine,1738-2696,2212-5469
Journal of Inflammation Research,,1178-7031
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,0148-6071,1941-2444
MACROMOLECULAR BIOSCIENCE,1616-5187,1616-5195
Immune Network,1598-2629,2092-6685
AIMS Microbiology,2471-1888,2471-1888
JOURNAL OF NEUROSCIENCE,0270-6474,1529-2401
NEUROCHEMISTRY INTERNATIONAL,0197-0186,1872-9754
Journal of Nutrition Health & Aging,1279-7707,1760-4788
ENVIRONMENTAL MICROBIOLOGY,1462-2912,1462-2920
Current Research in Biotechnology,2590-2628,2590-2628
Clinical and Translational Allergy,,2045-7022
Targeted Oncology,1776-2596,1776-260X
FEMS Microbes,,2633-6685
Microbial Risk Analysis,2352-3522,2352-3530
Journal of Functional Foods,1756-4646,2214-9414
Frontiers in Cellular Neuroscience,,1662-5102
JOURNAL OF NEUROCHEMISTRY,0022-3042,1471-4159
Journal of the Academy of Nutrition and Dietetics,2212-2672,2212-2680
PROCESS BIOCHEMISTRY,1359-5113,1873-3298
Frontiers in Molecular Biosciences,,2296-889X
Tissue Barriers,2168-8370,2168-8370
EXPERT OPINION ON BIOLOGICAL THERAPY,1471-2598,1744-7682
ACS Chemical Neuroscience,1948-7193,1948-7193
JOURNAL OF BIOTECHNOLOGY,0168-1656,1873-4863
Cognitive Neurodynamics,1871-4080,1871-4099
Diabetology & Metabolic Syndrome,,1758-5996
GASTROENTEROLOGY CLINICS OF NORTH AMERICA,0889-8553,1558-1942
ONCOLOGY REPORTS,1021-335X,1791-2431
CLINICS IN GERIATRIC MEDICINE,0749-0690,1879-8853
Intestinal Research,1598-9100,1598-9100
JOURNAL OF BIOLOGICAL CHEMISTRY,,1083-351X
JOURNAL OF ENDOCRINOLOGY,0022-0795,1479-6805
NEUROMOLECULAR MEDICINE,1535-1084,1559-1174
Journal of Obesity,2090-0708,2090-0716
Microbial Cell,2311-2638,2311-2638
Retrovirology,,1742-4690
ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,0004-069X,1661-4917
Nanomedicine,1743-5889,1748-6963
Journal of Cell Communication and Signaling,1873-9601,1873-961X
Metabolism and Target Organ Damage,,2769-6375
Neurophotonics,2329-423X,2329-4248
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,0022-3565,1521-0103
Journal of Virology,0022-538X,1098-5514
JOURNAL OF INHERITED METABOLIC DISEASE,0141-8955,1573-2665
Journal of the American Medical Directors Association,1525-8610,1538-9375
Cancer Research and Treatment,1598-2998,2005-9256
Microbiology Spectrum,,2165-0497
DIGESTIVE AND LIVER DISEASE,1590-8658,1878-3562
ARCHIVES OF GERONTOLOGY AND GERIATRICS,0167-4943,1872-6976
INTERNATIONAL JOURNAL OF OBESITY,0307-0565,1476-5497
Journal of Neural Engineering,1741-2560,1741-2552
Virology Journal,,1743-422X
Nutrition Journal,,1475-2891
Clinical & Translational Immunology,,2050-0068
JOURNAL OF PHARMACEUTICAL SCIENCES,0022-3549,1520-6017
Biocatalysis and Agricultural Biotechnology,,1878-8181
BMC Medical Informatics and Decision Making,,1472-6947
JOURNAL OF NUTRITION,0022-3166,1541-6100
CHEMICAL RESEARCH IN TOXICOLOGY,0893-228X,1520-5010
Journal of Gastric Cancer,2093-582X,2093-5641
Pharmacological Reports,1734-1140,2299-5684
ACS Chemical Biology,1554-8929,1554-8937
CLINICAL IMMUNOLOGY,1521-6616,1521-7035
NEUROCHEMICAL RESEARCH,0364-3190,1573-6903
Frontiers in Molecular Neuroscience,1662-5099,1662-5099
DRUGS & AGING,1170-229X,1179-1969
JOURNAL OF MOLECULAR ENDOCRINOLOGY,0952-5041,1479-6813
Biochemical Engineering Journal,1369-703X,1873-295X
JMIR Medical Informatics,,2291-9694
Microbiome Research Reports,,2771-5965
Esophagus,1612-9059,1612-9067
CLINICAL AND EXPERIMENTAL IMMUNOLOGY,0009-9104,1365-2249
Frontiers in Fungal Biology,,2673-6128
DRUG METABOLISM REVIEWS,0360-2532,1097-9883
ACS Pharmacology & Translational Science,,2575-9108
PLoS Genetics,1553-7404,1553-7404
AAPS Journal,1550-7416,1550-7416
JOURNAL OF MEDICAL GENETICS,0022-2593,1468-6244
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,1684-1182,1995-9133
BMC GENOMICS,1471-2164,1471-2164
BRAIN RESEARCH BULLETIN,0361-9230,1873-2747
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,0099-2240,1098-5336
Journal of Diabetes Science and Technology,1932-2968,1932-2968
Clinical Interventions in Aging,,1178-1998
HUMAN MUTATION,1059-7794,1098-1004
AMB Express,2191-0855,2191-0855
ENZYME AND MICROBIAL TECHNOLOGY,0141-0229,1879-0909
SLAS Technology,2472-6303,2472-6311
Journal of Diabetes,1753-0393,1753-0407
NEURAL PLASTICITY,2090-5904,1687-5443
ASN Neuro,1759-0914,1759-0914
CYTOKINE,1043-4666,1096-0023
EUROPEAN JOURNAL OF IMMUNOLOGY,0014-2980,1521-4141
Metabolites,,2218-1989
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,0167-4889,1879-2596
CELLULAR SIGNALLING,0898-6568,1873-3913
MOLECULAR AND CELLULAR BIOCHEMISTRY,0300-8177,1573-4919
SEMINARS IN LIVER DISEASE,0272-8087,1098-8971
Expert Review of Clinical Immunology,1744-666X,1744-8409
Current Opinion in Toxicology,2468-2020,2468-2020
Neurobiology of Stress,2352-2895,2352-2895
INFECTION,0300-8126,1439-0973
Human Genetics and Genomics Advances,2666-2477,2666-2477
JOURNAL OF PROTEOME RESEARCH,1535-3893,1535-3907
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,0305-7453,1460-2091
MycoKeys,1314-4057,1314-4049
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,1438-4221,1618-0607
Annals of Clinical Microbiology and Antimicrobials,,1476-0711
BONE,8756-3282,1873-2763
HUMAN GENETICS,0340-6717,1432-1203
ARCHIV DER PHARMAZIE,0365-6233,1521-4184
Journal of Translational Autoimmunity,2589-9090,2589-9090
STEM CELLS,1066-5099,1549-4918
European Geriatric Medicine,1878-7649,1878-7657
BIOLOGICAL TRACE ELEMENT RESEARCH,0163-4984,1559-0720
MOLECULAR AND CELLULAR ENDOCRINOLOGY,0303-7207,1872-8057
BIOTECHNOLOGY AND BIOENGINEERING,0006-3592,1097-0290
CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,1879-0380
BIOMETALS,0966-0844,1572-8773
NUTRITIONAL NEUROSCIENCE,1028-415X,1476-8305
European Cardiology Review,1758-3756,1758-3756
CLINICAL THERAPEUTICS,0149-2918,1879-114X
DIGESTION,0012-2823,1421-9867
RSC Medicinal Chemistry,,2632-8682
Journal of Immunology Research,2314-8861,2314-7156
Open Biology,,2046-2441
BIOPROCESS AND BIOSYSTEMS ENGINEERING,1615-7591,1615-7605
Epigenetics Insights,2516-8657,2516-8657
Proteomes,,2227-7382
JOURNAL OF CELL SCIENCE,0021-9533,1477-9137
NUTRITION BULLETIN,1471-9827,1467-3010
World Journal of Stem Cells,1948-0210,1948-0210
Journal of Neuroimmune Pharmacology,1557-1890,1557-1904
VASCULAR PHARMACOLOGY,1537-1891,1879-3649
AMERICAN HEART JOURNAL,0002-8703,1097-6744
Lupus Science & Medicine,2053-8790,2053-8790
Vaccine,0264-410X,1873-2518
NEUROMODULATION,1094-7159,1525-1403
NEUROBIOLOGY OF AGING,0197-4580,1558-1497
Epigenetics & Chromatin,,1756-8935
FOOD AND CHEMICAL TOXICOLOGY,0278-6915,1873-6351
Viruses-Basel,,1999-4915
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,0391-4097,1720-8386
Orphanet Journal of Rare Diseases,,1750-1172
CLINICAL AND EXPERIMENTAL HYPERTENSION,1064-1963,1525-6006
European Review of Aging and Physical Activity,1813-7253,1861-6909
Frontiers of Medicine,2095-0217,2095-0225
METABOLIC BRAIN DISEASE,0885-7490,1573-7365
MICROBIAL PATHOGENESIS,0882-4010,1096-1208
MOLECULAR GENETICS AND METABOLISM,1096-7192,1096-7206
Molecular Medicine Reports,1791-2997,1791-3004
Human Vaccines & Immunotherapeutics,2164-5515,2164-554X
Frontiers in Systems Neuroscience,,1662-5137
CLINICAL AND EXPERIMENTAL MEDICINE,1591-8890,1591-9528
Journal of Bone Oncology,,2212-1374
MEDICAL ONCOLOGY,1357-0560,1559-131X
Regenerative Therapy,2352-3204,2352-3204
EXPERIMENTAL CELL RESEARCH,0014-4827,1090-2422
Current Pain and Headache Reports,1531-3433,1534-3081
MICROBIOLOGY-SGM,1350-0872,1465-2080
Epigenomes,,2075-4655
CURRENT MEDICINAL CHEMISTRY,0929-8673,1875-533X
CURRENT CANCER DRUG TARGETS,1568-0096,1873-5576
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,1363-1950,1473-6519
Journal of Mass Spectrometry and Advances in the Clinical Lab,2667-1468,2667-145X
Sleep Health,2352-7218,2352-7226
SLEEP MEDICINE,1389-9457,1878-5506
Health Information Science and Systems,2047-2501,2047-2501
JOURNAL OF CLINICAL VIROLOGY,1386-6532,1873-5967
JOURNAL OF RHEUMATOLOGY,0315-162X,1499-2752
TOXICOLOGY AND APPLIED PHARMACOLOGY,0041-008X,1096-0333
Vaccines,,2076-393X
Current Heart Failure Reports,1546-9530,1546-9549
Diabetes & Metabolic Syndrome-Clinical Research & Reviews,1871-4021,1878-0334
SAUDI PHARMACEUTICAL JOURNAL,1319-0164,2213-7475
HEPATOLOGY RESEARCH,1386-6346,1872-034X
Journal of Breath Research,1752-7155,1752-7163
PARKINSONISM & RELATED DISORDERS,1353-8020,1873-5126
BMJ Open Respiratory Research,,2052-4439
ARCHIVES OF MEDICAL RESEARCH,0188-4409,1873-5487
Journal of Neuromuscular Diseases,2214-3599,2214-3602
BMC BIOTECHNOLOGY,,1472-6750
Nature and Science of Sleep,1179-1608,1179-1608
AGING CLINICAL AND EXPERIMENTAL RESEARCH,1594-0667,1720-8319
Ecological Complexity,1476-945X,1476-9840
Pituitary,1386-341X,1573-7403
Cardiovascular Therapeutics,1755-5914,1755-5922
CLINICAL AUTONOMIC RESEARCH,0959-9851,1619-1560
ChemMedChem,1860-7179,1860-7187
Biochemistry Research International,2090-2247,2090-2255
Global Mental Health,2054-4251,2054-4251
BMC CANCER,,1471-2407
Journal of Hepatocellular Carcinoma,,2253-5969
Life Metabolism,,2755-0230
Biologics-Targets & Therapy,1177-5475,1177-5491
Ecosystem Health and Sustainability,2096-4129,2332-8878
FOOD AND BIOPRODUCTS PROCESSING,0960-3085,1744-3571
PSYCHIATRIC CLINICS OF NORTH AMERICA,0193-953X,1558-3147
Research and Practice in Thrombosis and Haemostasis,,2475-0379
Asia-Pacific Psychiatry,1758-5864,1758-5872
THROMBOSIS RESEARCH,0049-3848,1879-2472
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,0815-9319,1440-1746
ANNALS OF MICROBIOLOGY,1590-4261,1869-2044
Journal of Diabetes Research,2314-6745,2314-6753
JOURNAL OF IMMUNOLOGY,0022-1767,1550-6606
Bosnian Journal of Basic Medical Sciences,1512-8601,1840-4812
DIABETIC MEDICINE,0742-3071,1464-5491
PHARMACOTHERAPY,0277-0008,1875-9114
Therapeutic Advances in Drug Safety,2042-0986,2042-0994
EUROPEAN JOURNAL OF MEDICAL RESEARCH,0949-2321,2047-783X
HARVARD REVIEW OF PSYCHIATRY,1067-3229,1465-7309
Journal of Neurorestoratology,2324-2426,2324-2426
RESEARCH IN MICROBIOLOGY,0923-2508,1769-7123
JOURNAL OF NEUROSCIENCE RESEARCH,0360-4012,1097-4547
Therapeutic Advances in Gastroenterology,,1756-2848
Expert Review of Neurotherapeutics,1473-7175,1744-8360
Current Opinion in Critical Care,1070-5295,1531-7072
Therapeutic Advances in Infectious Disease,2049-9361,2049-937X
Nanotoxicology,1743-5390,1743-5404
Neurodegenerative Disease Management,1758-2024,1758-2032
World Journal of Psychiatry,2220-3206,2220-3206
Breast Cancer-Targets and Therapy,1179-1314,1179-1314
Current Oncology,1198-0052,1718-7729
INTERNATIONAL REVIEW OF PSYCHIATRY,0954-0261,1369-1627
RNA Biology,1547-6286,1555-8584
Animal Models and Experimental Medicine,2096-5451,2576-2095
Breathe,1810-6838,2073-4735
JOURNAL OF HUMAN HYPERTENSION,0950-9240,1476-5527
Food & Nutrition Research,1654-6628,1654-661X
Expert Opinion on Drug Metabolism & Toxicology,1742-5255,1744-7607
PROTEIN ENGINEERING DESIGN & SELECTION,1741-0126,1741-0134
ARTHRITIS CARE & RESEARCH,2151-464X,2151-4658
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,0193-1857,1522-1547
JOURNAL OF PSYCHIATRY & NEUROSCIENCE,1180-4882,1488-2434
Pain and Therapy,2193-8237,2193-651X
EUROPEAN JOURNAL OF SOIL BIOLOGY,1164-5563,1778-3615
ECOSYSTEMS,1432-9840,1435-0629
JOURNAL OF PSYCHOSOMATIC RESEARCH,0022-3999,1879-1360
PSYCHOPHARMACOLOGY,0033-3158,1432-2072
PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,0885-5765,0885-5765
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,0392-856X,1593-098X
Current Fungal Infection Reports,1936-3761,1936-377X
Journal of Neurogastroenterology and Motility,2093-0879,2093-0887
PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS,0971-5894,0974-0430
Journal of Frailty & Aging,2260-1341,2273-4309
JAC-Antimicrobial Resistance,,2632-1823
NEUROTOXICITY RESEARCH,1029-8428,1476-3524
Journal of Plant Interactions,1742-9145,1742-9153
Clinical Proteomics,1542-6416,1559-0275
NFS Journal,2352-3646,2352-3646
AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL,1566-0702,1872-7484
BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,1742-7835,1742-7843
Clinical Lung Cancer,1525-7304,1938-0690
Journal of Clinical and Translational Endocrinology,2214-6237,2214-6237
CURRENT PROBLEMS IN CARDIOLOGY,0146-2806,1535-6280
Metabolomics,1573-3882,1573-3890
BMC Endocrine Disorders,,1472-6823
Cancer Research Communications,,2767-9764
CURRENT GENE THERAPY,1566-5232,1875-5631
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,0946-672X,1878-3252
ENDOCRINOLOGY,0013-7227,1945-7170
CLINICAL TOXICOLOGY,1556-3650,1556-9519
Fermentation-Basel,,2311-5637
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,1388-1981,1879-2618
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,0273-2289,1559-0291
Arrhythmia & Electrophysiology Review,2050-3369,2050-3377
Pathogens,,2076-0817
VASCULAR MEDICINE,1358-863X,1477-0377
Frontiers in Oncology,2234-943X,2234-943X
Lung Cancer-Targets and Therapy,,1179-2728
EUROPEAN JOURNAL OF CLINICAL NUTRITION,0954-3007,1476-5640
Annals of Gastroenterological Surgery,2475-0328,2475-0328
Current Cardiology Reports,1523-3782,1534-3170
GLYCOBIOLOGY,0959-6658,1460-2423
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,0963-7486,1465-3478
Journal of Intensive Medicine,2097-0250,2667-100X
Chemical Biology & Drug Design,1747-0277,1747-0285
Clinical Medicine Insights-Cardiology,1179-5468,1179-5468
BMB Reports,1976-6696,1976-670X
Current Hematologic Malignancy Reports,1558-8211,1558-822X
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,0003-9985,1543-2165
PATHOLOGY RESEARCH AND PRACTICE,0344-0338,1618-0631
JOURNAL OF TELEMEDICINE AND TELECARE,1357-633X,1758-1109
JOURNAL OF PSYCHIATRIC RESEARCH,0022-3956,1879-1379
Evolutionary Applications,1752-4571,1752-4571
Environmental Epigenetics,2058-5888,2058-5888
CANCER CYTOPATHOLOGY,1934-662X,1934-6638
Journal of Global Antimicrobial Resistance,2213-7165,2213-7173
JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM,1085-9489,1529-8027
ENVIRONMENTAL TOXICOLOGY,1520-4081,1522-7278
JOURNAL OF INORGANIC BIOCHEMISTRY,0162-0134,1873-3344
ECOLOGICAL MODELLING,0304-3800,1872-7026
International Journal of Cardiology,0167-5273,1874-1754
ECOLOGY AND SOCIETY,1708-3087,
FEMS MICROBIOLOGY ECOLOGY,0168-6496,1574-6941
Frontiers in Psychiatry,1664-0640,1664-0640
Neurological Research and Practice,,2524-3489
CELL TRANSPLANTATION,0963-6897,1555-3892
Journal of Physiological Sciences,1880-6546,1880-6562
Journal of Bronchology & Interventional Pulmonology,1944-6586,1948-8270
CYTOTHERAPY,1465-3249,1477-2566
Neurology-Clinical Practice,2163-0402,2163-0933
Epigenetics,1559-2294,1559-2308
HUMAN MOLECULAR GENETICS,0964-6906,1460-2083
JOURNAL OF THE NEUROLOGICAL SCIENCES,0022-510X,1878-5883
Cardio-Oncology,,2057-3804
HUMAN & EXPERIMENTAL TOXICOLOGY,0960-3271,1477-0903
Frontiers in Neuroscience,,1662-453X
Degenerative Neurological and Neuromuscular Disease,,1179-9900
JOURNAL OF PHARMACY AND PHARMACOLOGY,0022-3573,2042-7158
Gut and Liver,1976-2283,2005-1212
Neurobiology of Pain,,2452-073X
Biomolecules & Therapeutics,1976-9148,2005-4483
CALCIFIED TISSUE INTERNATIONAL,0171-967X,1432-0827
MOLECULAR CARCINOGENESIS,0899-1987,1098-2744
BIODEGRADATION,0923-9820,1572-9729
HIV MEDICINE,,1468-1293
Journal of Cancer,1837-9664,1837-9664
International Journal of Clinical Pharmacy,2210-7703,2210-7711
NAR Cancer,2632-8674,2632-8674
World Journal of Traditional Chinese Medicine,2311-8571,2589-2894
CLINICAL & EXPERIMENTAL METASTASIS,0262-0898,1573-7276
Environmental Pollutants and Bioavailability,2639-5932,2639-5940
Clinical Colorectal Cancer,1533-0028,1938-0674
International Journal of Microbiology,1687-918X,1687-9198
PHARMACOLOGY,0031-7012,1423-0313
JOURNAL OF APPLIED MICROBIOLOGY,1364-5072,1365-2672
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,1474-905X,1474-9092
Arctic Science,,2368-7460
INTERNATIONAL IMMUNOLOGY,0953-8178,1460-2377
Journal of Clinical and Experimental Hepatology,0973-6883,2213-3453
JOURNAL OF MICROENCAPSULATION,0265-2048,1464-5246
BIOPOLYMERS,0006-3525,1097-0282
Annals of Geriatric Medicine and Research,2508-4909,2508-4909
NITRIC OXIDE-BIOLOGY AND CHEMISTRY,1089-8603,1089-8611
Nutrition & Dietetics,1446-6368,1747-0080
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,0952-3278,1532-2823
IUBMB LIFE,1521-6543,1521-6551
Oncology and Therapy,2366-1070,2366-1089
Journal of Immunotherapy and Precision Oncology,2666-2345,2590-017X
JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,1367-5435,1476-5535
Channels,1933-6950,1933-6969
Current Developments in Nutrition,2475-2991,2475-2991
World Journal of Clinical Oncology,2218-4333,2218-4333
MYCOSES,0933-7407,1439-0507
EXPERIMENTAL DERMATOLOGY,0906-6705,1600-0625
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,0193-1849,1522-1555
Mobile DNA,1759-8753,1759-8753
VIRCHOWS ARCHIV,0945-6317,1432-2307
FUNCTIONAL & INTEGRATIVE GENOMICS,1438-793X,1438-7948
Network Neuroscience,2472-1751,2472-1751
3D Printing in Medicine,,2365-6271
mSphere,,2379-5042
Annals of General Psychiatry,,1744-859X
